player_id,player_name,player_display_name,position_x,season,season_type,rushing_yards,gsis_id,display_name,common_first_name,first_name,last_name,short_name,football_name,suffix,esb_id,nfl_id,pfr_id,pff_id,otc_id,espn_id,smart_id,birth_date,position_group,position_y,ngs_position_group,ngs_position,height,weight,headshot,college_name,college_conference,jersey_number,rookie_season,last_season,latest_team,status,ngs_status,ngs_status_short_description,years_of_experience,pff_position,pff_status,draft_year,draft_round,draft_pick,draft_team
00-0033893,D.Cook,Dalvin Cook,RB,2024,REG,20,00-0033893,Dalvin Cook,Dalvin,Dalvin,Cook,D.Cook,Dalvin,,COO047079,44853,CookDa01,11796,5627,3116593,3200434f-4f04-7079-ca3d-32c8b4ce8a9a,1995-08-10,RB,RB,RB,RB,70.0,210.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uurolop9ktcloxqh4fid",Florida State,Atlantic Coast Conference,20,2017,2024,DAL,DEV,DEV,PS; Vet,8,HB,P,2017.0,2.0,41.0,MIN
00-0033897,J.Mixon,Joe Mixon,RB,2024,REG,1016,00-0033897,Joe Mixon,Joe,Joe,Mixon,J.Mixon,Joe,,MIX564388,44860,MixoJo00,11803,5634,3116385,32004d49-5856-4388-c611-05b6fcff1d1d,1996-07-24,RB,RB,,,73.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gwyhozfhjgedwdmmjjcf",Oklahoma,Big Twelve Conference,28,2017,2025,HOU,RSN,RES,R/NFIN,9,HB,A,2017.0,2.0,48.0,CIN
00-0033906,A.Kamara,Alvin Kamara,RB,2024,REG,950,00-0033906,Alvin Kamara,Alvin,Alvin,Kamara,A.Kamara,Alvin,,KAM244058,44879,KamaAl00,11822,5653,3054850,32004b41-4d24-4058-5a3b-01bd39e6a25d,1995-07-25,RB,RB,RB,RB,70.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uay6uo9lonegelngihki",Tennessee; Hutchinson CC; Alabama,Southeastern Conference,41,2017,2025,NO,ACT,ACT,Active,9,HB,A,2017.0,3.0,67.0,NO
00-0033923,K.Hunt,Kareem Hunt,RB,2024,REG,728,00-0033923,Kareem Hunt,Kareem,Kareem,Hunt,K.Hunt,Kareem,,HUN308934,44898,HuntKa00,11841,5672,3059915,32004855-4e30-8934-bd0d-d8d3d09b6aac,1995-08-06,RB,RB,RB,RB,71.0,216.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hktvzf8hiupoycyg1kmc",Toledo,Mid-American Conference,29,2017,2025,KC,ACT,ACT,Active,9,HB,A,2017.0,3.0,86.0,KC
00-0033925,D.Foreman,D'Onta Foreman,RB,2024,REG,232,00-0033925,D'Onta Foreman,D'Onta,D'Onta,Foreman,D.Foreman,D'Onta,,FOR392618,44901,ForeDO00,11844,5675,3125116,3200464f-5239-2618-71de-9b22c3939617,1996-04-24,RB,RB,,,73.0,236.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/shlxaet74pmn8arznphw",Texas,Big Twelve Conference,27,2017,2024,CLE,ACT,CUT,R/UFA,6,HB,A,2017.0,3.0,89.0,HOU
00-0033948,Ja.Williams,Jamaal Williams,RB,2024,REG,164,00-0033948,Jamaal Williams,Jamaal,Jamaal,Williams,J.Williams,Jamaal,,WIL328269,44947,WillJa06,11889,5720,2980453,32005749-4c32-8269-4a19-d851ac99ba3c,1995-04-03,RB,RB,RB,RB,72.0,224.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxrxpgcwq5qwp88vqnp3",BYU,Independent,21,2017,2024,NO,ACT,ACT,Active,8,HB,A,2017.0,4.0,134.0,GB
00-0033955,J.McNichols,Jeremy McNichols,RB,2024,REG,261,00-0033955,Jeremy McNichols,Jeremy,Jeremy,McNichols,J.McNichols,Jeremy,,MCN750971,44975,McNiJe00,11917,5748,3127586,32004d43-4e75-0971-c818-00cfc1798991,1995-12-26,RB,RB,RB,RB,69.0,205.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kegqjj5pv7xidm0xwtpy",Boise State,Mountain West Conference,26,2017,2025,WAS,ACT,ACT,Active,5,HB,A,2017.0,5.0,162.0,TB
00-0034115,J.Wilson,Jeff Wilson,RB,2024,REG,57,00-0034115,Jeff Wilson,Jeff,Jeffery,Wilson,J.Wilson,Jeffery,,WIL723340,46377,WilsJe01,29413,7633,3122976,32005749-4c72-3340-3ba4-ceb68768d8f6,1995-11-16,RB,RB,RB,RB,72.0,205.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zorqrtlrizlltgd6pnob",North Texas,Conference USA,,2018,2025,MIA,DEV,DEV,PS; Vet,8,HB,P,,,,
00-0034184,G.Edwards,Gus Edwards,RB,2024,REG,365,00-0034184,Gus Edwards,Gus,Augustus,Edwards,G.Edwards,Gus,,EDW471180,46437,EdwaGu00,46027,7251,3051926,32004544-5747-1180-daba-c0c892edc0c8,1995-04-13,RB,RB,RB,RB,73.0,238.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyobqe3w5eypevsk3f2b",Rutgers; Miami,Big Ten Conference,4,2018,2024,LAC,ACT,ACT,Active,7,HB,A,,,,
00-0034208,M.Boone,Mike Boone,RB,2024,REG,51,00-0034208,Mike Boone,Mike,Michael,Boone,M.Boone,Mike,,BOO452495,46461,BoonMi00,31615,7454,3139033,3200424f-4f45-2495-f003-8085a5aa378e,1995-07-30,RB,RB,RB,RB,70.0,206.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yeoyrlaf9hlvowj6fdio",Cincinnati,American Athletic Conference,34,2018,2024,CAR,ACT,CUT,Active,7,HB,A,,,,
00-0034791,N.Chubb,Nick Chubb,RB,2024,REG,332,00-0034791,Nick Chubb,Nick,Nicholas,Chubb,N.Chubb,Nick,,CHU033942,46104,ChubNi00,45783,6920,3128720,32004348-5503-3942-d8b2-181bd658412e,1995-12-27,RB,RB,RB,RB,71.0,227.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h5y74trx6l8ivpkbmrkt",Georgia,Southeastern Conference,21,2018,2025,HOU,ACT,ACT,Active,8,HB,A,2018.0,2.0,35.0,CLE
00-0034808,J.Kelly,John Kelly,RB,2024,REG,0,00-0034808,John Kelly,John,John,Kelly,J.Kelly,John,,KEL641184,46245,KellJo00,34761,7061,3915381,32004b45-4c64-1184-f35f-fa8ffac29350,1996-10-04,RB,RB,RB,RB,70.0,208.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pcjtitrxadmpg7ujoddg",Tennessee,Southeastern Conference,,2018,2024,CLE,ACT,ACT,Active,2,HB,P,2018.0,6.0,176.0,LA
00-0034844,S.Barkley,Saquon Barkley,RB,2024,REG,2005,00-0034844,Saquon Barkley,Saquon,Saquon,Barkley,S.Barkley,Saquon,,BAR192674,46071,BarkSa00,45791,6887,3929630,32004241-5219-2674-af43-1519254e563d,1997-02-09,RB,RB,RB,RB,72.0,232.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ern1nbhivkmwkg82c7v1",Penn State,Big Ten Conference,26,2018,2025,PHI,ACT,ACT,Active,8,HB,A,2018.0,1.0,2.0,NYG
00-0034959,A.Beck,Andrew Beck,RB,2024,REG,0,00-0034959,Andrew Beck,Andrew,Andrew,Beck,A.Beck,Andrew,,BEC046566,48096,BeckAn01,47121,8077,3125107,32004245-4304-6566-b5fa-35b9a8ef10b0,1996-05-15,RB,RB,RB,FB,75.0,255.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cgfleml3vlakevf285n3",Texas,Big Twelve Conference,47,2019,2025,NYJ,ACT,ACT,Active,6,FB,A,,,,
00-0034972,A.Mattison,Alexander Mattison,RB,2024,REG,420,00-0034972,Alexander Mattison,Alexander,Alexander,Mattison,A.Mattison,Alexander,,MAT599622,47885,MattAl01,45817,7893,4048244,32004d41-5459-9622-25bb-238938a4f96b,1998-06-19,RB,RB,RB,RB,71.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/mbcaep8diu9yuo3qrtiz",Boise State,Mountain West Conference,8,2019,2025,MIA,RES,RES,R/Injured,7,HB,A,2019.0,3.0,102.0,MIN
00-0034975,J.Hill,Justice Hill,RB,2024,REG,228,00-0034975,Justice Hill,Justice,Justice,Hill,J.Hill,Justice,,HIL326301,47896,HillJu00,45865,7904,4038441,32004849-4c32-6301-179f-7d7fb01289c2,1997-11-14,RB,RB,RB,RB,70.0,205.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/h6p9crhra8ehxju3ubza",Oklahoma State,Big Twelve Conference,43,2019,2025,BAL,RES,RES,R/Injured,7,HB,IR,2019.0,4.0,113.0,BAL
00-0035243,M.Sanders,Miles Sanders,RB,2024,REG,205,00-0035243,Miles Sanders,Miles,Miles,Sanders,M.Sanders,Miles,,SAN153567,47836,SandMi01,40555,7844,4045163,32005341-4e15-3567-869d-79c73965b54e,1997-05-01,RB,RB,RB,RB,71.0,211.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/niyjjkzmxjmesftgjs8y",Penn State,Big Ten Conference,24,2019,2025,DAL,RES,RES,R/Injured,7,HB,IR,2019.0,2.0,53.0,PHI
00-0035250,D.Singletary,Devin Singletary,RB,2024,REG,437,00-0035250,Devin Singletary,Devin,Devin,Singletary,D.Singletary,Devin,,SIN186919,47857,SingDe00,40485,7865,4040761,32005349-4e18-6919-d1e6-003f4632ba87,1997-09-03,RB,RB,RB,RB,67.0,203.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/wqw8ee4nsxsisqb3bagw",Florida Atlantic,Conference USA,26,2019,2025,NYG,ACT,ACT,Active,7,HB,A,2019.0,3.0,74.0,BUF
00-0035261,T.Pollard,Tony Pollard,RB,2024,REG,1079,00-0035261,Tony Pollard,Tony,Tony,Pollard,T.Pollard,Tony,,POL283188,47911,PollTo00,27126,7919,3916148,3200504f-4c28-3188-35b8-d0ae9db0f68a,1997-04-30,RB,RB,RB,RB,72.0,209.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dvpdczetkdhrqpm8izmd",Memphis,American Athletic Conference,20,2019,2025,TEN,ACT,ACT,Active,7,HB,A,2019.0,4.0,128.0,DAL
00-0035291,T.Williams,Trayveon Williams,RB,2024,REG,0,00-0035291,Trayveon Williams,Trayveon,Trayveon,Williams,T.Williams,Trayveon,,WIL185325,47965,WillTr06,45775,7973,4035222,32005749-4c18-5325-3179-dd521a18c706,1997-10-18,RB,RB,RB,RB,68.0,206.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zwei0idpruplnhlmpfkr",Texas A&M,Southeastern Conference,38,2019,2025,CLE,ACT,ACT,Active,7,HB,A,2019.0,6.0,182.0,CIN
00-0035311,M.Gaskin,Myles Gaskin,RB,2024,REG,-1,00-0035311,Myles Gaskin,Myles,Myles,Gaskin,M.Gaskin,Myles,,GAS211909,48017,GaskMy00,45914,8025,3886818,32004741-5321-1909-2ae0-a123794bf24d,1997-02-15,RB,RB,RB,RB,70.0,199.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn5kacxm99pb95u8dle1",Washington,Pacific Twelve Conference,33,2019,2025,SEA,CUT,CUT,PS; Vet,7,HB,P,2019.0,7.0,234.0,MIA
00-0035537,Ty.Johnson,Ty Johnson,RB,2024,REG,213,00-0035537,Ty Johnson,Ty,Ty,Johnson,T.Johnson,Ty,,JOH000019,47969,JohnTy02,45769,7977,3915411,32004a4f-4800-0019-d088-6a9e623c3c3d,1997-09-17,RB,RB,RB,RB,70.0,210.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hmnzcfm56ojey6myomjg",Maryland,Big Ten Conference,26,2019,2025,BUF,ACT,ACT,Active,7,HB,A,2019.0,6.0,186.0,DET
00-0035567,C.Reynolds,Craig Reynolds,RB,2024,REG,139,00-0035567,Craig Reynolds,Craig,Craig,Reynolds,C.Reynolds,Craig,,REY121392,48707,ReynCr00,94383,8540,4421446,32005245-5912-1392-3ec5-67a384849051,1996-06-15,RB,RB,RB,RB,71.0,216.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f5zuttg3hinfqgronrsg",Kutztown,Pennsylvania State Athletic Conference,,2019,2025,NE,DEV,DEV,Prac Sq.; Inj,6,HB,PINJ,,,,
00-0035594,T.Homer,Travis Homer,RB,2024,REG,23,00-0035594,Travis Homer,Travis,Travis,Homer,T.Homer,Travis,,HOM655558,47987,HomeTr00,45859,7995,4037457,3200484f-4d65-5558-456b-7b9fa9f97090,1998-08-07,RB,RB,RB,RB,70.0,211.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dyyclvfaagspov2ydf3i",Miami,Atlantic Coast Conference,21,2019,2025,CHI,ACT,ACT,Active,7,HB,A,2019.0,6.0,204.0,SEA
00-0035628,D.Johnson,D'Ernest Johnson,RB,2024,REG,143,00-0035628,D'Ernest Johnson,D'Ernest,D'Ernest,Johnson,D.Johnson,D'Ernest,,JOH201643,47605,JohnDE04,45734,8556,3139602,32004a4f-4820-1643-b9f5-85f0b9ca0916,1996-02-27,RB,RB,RB,RB,70.0,208.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gbe2eojaxid4n3pmo0rj",University of South Florida,American Athletic Conference,34,2019,2025,NE,ACT,ACT,Active,7,HB,A,,,,
00-0035685,D.Montgomery,David Montgomery,RB,2024,REG,775,00-0035685,David Montgomery,David,David,Montgomery,D.Montgomery,David,,MON487374,47856,MontDa01,45719,7864,4035538,32004d4f-4e48-7374-a044-7fb197b6b501,1997-06-07,RB,RB,RB,RB,71.0,230.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xeb6fq4zimgkksq7uari",Iowa State,Big Twelve Conference,5,2019,2025,DET,ACT,ACT,Active,7,HB,A,2019.0,3.0,73.0,CHI
00-0035700,J.Jacobs,Josh Jacobs,RB,2024,REG,1329,00-0035700,Josh Jacobs,Josh,Joshua,Jacobs,J.Jacobs,Josh,,JAC734615,47807,JacoJo01,45953,7815,4047365,32004a41-4373-4615-60ca-982d07046841,1998-02-11,RB,RB,RB,RB,70.0,223.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/drtobqw2mk7yw3edjgwo",Alabama,Southeastern Conference,8,2019,2025,GB,ACT,ACT,Active,7,HB,A,2019.0,1.0,24.0,LV
00-0035726,J.Johnson,Jakob Johnson,RB,2024,REG,0,00-0035726,Jakob Johnson,Jakob,Jakob,Johnson,J.Johnson,Jakob,,JOH321813,47749,JohnJa12,32565,8050,3115349,32004a4f-4832-1813-4b9e-cb552f1d2888,1994-12-15,RB,RB,RB,FB,75.0,255.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/awuzhbfuubbmxzxxdtsb",Tennessee,Southeastern Conference,43,2019,2025,HOU,DEV,DEV,PS; Vet,6,FB,P,,,,
00-0035806,J.Hasty,JaMycal Hasty,RB,2024,REG,69,00-0035806,JaMycal Hasty,JaMycal,JaMycal,Hasty,J.Hasty,Jamycal,,HAS766320,52708,HastJa02,25582,9172,3928925,32004841-5376-6320-3668-fe378d3d0a54,1996-09-12,RB,RB,RB,RB,68.0,205.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/stvclosmy6zi864kfxw7",Baylor,Big Twelve Conference,,2020,2025,MIA,DEV,DEV,PS; Vet,6,HB,A,,,,
00-0035860,T.Jones,Tony Jones,RB,2024,REG,55,00-0035860,Tony Jones,Tony,Tony,Jones,T.Jones,Tony,,JON764018,52762,JoneTo04,40498,9384,4046676,32004a4f-4e76-4018-3eec-a5a491649382,1997-11-24,RB,RB,RB,RB,71.0,224.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgvll8lokulmws98olfa",Notre Dame,Independent,37,2020,2024,ARI,DEV,DEV,PS; Vet,4,HB,P,,,,
00-0035924,J.Ward,Jonathan Ward,RB,2024,REG,22,00-0035924,Jonathan Ward,Jonathan,Jonathan,Ward,J.Ward,Jonathan,,WAR231319,52826,WardJo00,25859,9400,4039274,32005741-5223-1319-7a39-25c10d8660c9,1997-09-30,RB,RB,RB,RB,72.0,202.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yct3a4xznwcxjvn4iosk",Central Michigan,Mid-American Conference,,2020,2025,BAL,DEV,DEV,PS; Vet,6,HB,A,,,,
00-0035973,P.Taylor,Patrick Taylor,RB,2024,REG,183,00-0035973,Patrick Taylor,Patrick,Patrick,Taylor,P.Taylor,Patrick,,TAY610553,52875,TaylPa01,40448,9152,4039358,32005441-5961-0553-917c-3a56e5a4c26c,1998-04-29,RB,RB,RB,RB,73.0,217.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/nd1utxii5exwfoujq5a4",Memphis,American Athletic Conference,32,2020,2025,SF,RES,RES,R/Injured,5,HB,A,,,,
00-0036096,J.Taylor,J.J. Taylor,RB,2024,REG,44,00-0036096,J.J. Taylor,J.J.,J.J.,Taylor,J.Taylor,J.J.,,TAY377437,53000,TaylJJ01,25512,9280,4039607,32005441-5937-7437-47b8-1ae4c23c7831,1998-01-04,RB,RB,RB,RB,66.0,185.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m8en6noemyviirgtxlgd",Arizona,Pacific Twelve Conference,38,2020,2024,HOU,DEV,CUT,Active,3,HB,A,,,,
00-0036139,R.Dowdle,Rico Dowdle,RB,2024,REG,1079,00-0036139,Rico Dowdle,Rico,Rico,Dowdle,R.Dowdle,Rico,,DOW329751,53041,DowdRi01,40693,9346,4038815,3200444f-5732-9751-c08c-8032929e63eb,1998-06-14,RB,RB,RB,RB,72.0,215.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cvnrzndsiaojvvxz8vo5",South Carolina,Southeastern Conference,5,2020,2025,CAR,ACT,ACT,Active,6,HB,A,,,,
00-0036158,J.Dobbins,J.K. Dobbins,RB,2024,REG,905,00-0036158,J.K. Dobbins,J.K.,J.K.,Dobbins,J.Dobbins,J.K.,,DOB207645,52463,DobbJK00,57366,8795,4241985,3200444f-4220-7645-7ee7-94f57d3eed4f,1998-12-17,RB,RB,RB,RB,70.0,212.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/cevotvl3ho5h1mioruyg",Ohio State,Big Ten Conference,27,2020,2025,DEN,RES,RES,R/Injured,6,HB,IR,2020.0,2.0,55.0,BAL
00-0036223,J.Taylor,Jonathan Taylor,RB,2024,REG,1431,00-0036223,Jonathan Taylor,Jonathan,Jonathan,Taylor,J.Taylor,Jonathan,,TAY431618,52449,TaylJo02,57488,8781,4242335,32005441-5943-1618-c081-5dd6b2d0b829,1999-01-19,RB,RB,RB,RB,70.0,226.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uwmnrhwtwug0wrgkomjk",Wisconsin,Big Ten Conference,28,2020,2025,IND,ACT,ACT,Active,6,HB,A,2020.0,2.0,41.0,IND
00-0036251,Z.Moss,Zack Moss,RB,2024,REG,242,00-0036251,Zack Moss,Zack,Zaccheus,Moss,Z.Moss,Zack,,MOS756406,52494,MossZa00,40341,8826,4035676,32004d4f-5375-6406-2efb-a60ab36c4cc4,1997-12-15,RB,RB,,,70.0,220.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oxrltdgoquiabhihhgnk",Utah,Pacific Twelve Conference,31,2020,2024,CIN,RES,CUT,Active/NFIN,5,HB,A,2020.0,3.0,86.0,BUF
00-0036275,D.Swift,D'Andre Swift,RB,2024,REG,959,00-0036275,D'Andre Swift,D'Andre,D'Andre,Swift,D.Swift,D'Andre,,SWI228476,52443,SwifDA00,57212,8775,4259545,32005357-4922-8476-53db-e64aaf6e01f5,1999-01-14,RB,RB,RB,RB,68.0,204.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/owpmwzoilitcodc6cmxo",Georgia,Southeastern Conference,4,2020,2025,CHI,ACT,ACT,Active,6,HB,A,2020.0,2.0,35.0,DET
00-0036297,D.Evans,Darrynton Evans,RB,2024,REG,3,00-0036297,Darrynton Evans,Darrynton,Darrynton,Evans,D.Evans,Darrynton,,EVA116537,52501,EvanDa02,40692,8833,4036431,32004556-4111-6537-4adc-98552053123e,1998-07-09,RB,RB,RB,RB,70.0,203.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/akmrd72vwsbpsnuh9775",Appalachian State,Sun Belt Conference,,2020,2024,CHI,ACT,CUT,R/Injured,5,HB,A,2020.0,3.0,93.0,TEN
00-0036328,A.Gibson,Antonio Gibson,RB,2024,REG,538,00-0036328,Antonio Gibson,Antonio,Antonio,Gibson,A.Gibson,Antonio,,GIB415285,52474,GibsAn00,78050,8806,4360294,32004749-4241-5285-a215-d633ff9a6f70,1998-06-23,RB,RB,RB,RB,72.0,228.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/j7ixpkm7u4tdoqwzmbt4",Memphis; East Central JC,American Athletic Conference,4,2020,2025,NE,RES,RES,R/Injured,6,HB,IR,2020.0,3.0,66.0,WAS
00-0036360,C.Edwards-Helaire,Clyde Edwards-Helaire,RB,2024,REG,46,00-0036360,Clyde Edwards-Helaire,Clyde,Clyde,Edwards-Helaire,C.Edwards-Helaire,Clyde,,EDW815562,52440,EdwaCl00,57279,8772,4242214,32004544-5781-5562-8963-df06e680f700,1999-04-11,RB,RB,RB,RB,67.0,207.0,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/er6tfnyxampiwn74zrui",LSU,Southeastern Conference,,2020,2025,KC,DEV,DEV,PS; Vet,6,HB,P,2020.0,1.0,32.0,KC
